"Gene_name","Size","nes","TF_Pval","TF_Pval_fdr","TF_logFC","NR_TF_activity","R_TF_activity","delta_TF_activity","logFC_expression","P.Value_expression","P.Value_promoter_methylation","NR_Promoter_Methylation","R_Promoter_Methylation","delta_promoter_methylation","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","Nb_enhancers_changed"
"GOSR1",0,0,1,1,0,0,0,0,5.78869590213595,0.230995314538491,3.34015060110409e-05,0.174460162791994,0.126962783311604,0.0474973794803898,0,0,3,3,0
"GOSR2",0,0,1,1,0,0,0,0,6.78322679022378,0.00558537508928184,0.271260717088595,0.294825515874569,0.283467715476928,0.011357800397641,0,0,3,3,0
"GOT1",0,0,1,1,0,0,0,0,-4.49792100718296,0.495988532098592,0.516350804629552,0.0479851278489983,0.0465939740050466,0.00139115384395167,4,0,12,16,4
"GOT1L1",0,0,1,1,0,0,0,0,0,1,0.623299214961655,0.866675496061827,0.875100105618839,-0.00842460955701252,0,0,3,3,0
"GOT2",0,0,1,1,0,0,0,0,-5.80891484402545,0.0940022810999804,0.0273282512322433,0.297357582679161,0.262538467233159,0.0348191154460021,0,0,2,2,0
"GP1BA",0,0,1,1,0,0,0,0,-7.52475246194439,0.338810414032054,0.000310303212245215,0.805014056694614,0.71344776149128,0.0915662952033341,1,0,2,3,1
"GP1BB",0,0,1,1,0,0,0,0,0,1,0.00995919127111457,0.523980955666276,0.449155216867442,0.0748257387988338,0,0,4,4,0
"GP2",0,0,1,1,0,0,0,0,0,1,0.158183257054729,0.671373458554302,0.721137817457774,-0.0497643589034719,0,0,16,16,0
"GP5",0,0,1,1,0,0,0,0,2.48474037261122,0.867104754986822,0.0490801443622972,0.213580922615235,0.168360826955796,0.0452200956594392,2,0,12,14,2
"GP6",0,0,1,1,0,0,0,0,5.60199230831305,0.721380730917376,0.190998223098764,0.716074660188489,0.76797369997014,-0.0518990397816513,0,0,11,11,0
"GP9",0,0,1,1,0,0,0,0,-6.03793221938383,0.424522036916718,0.00339343019142923,0.769652445817537,0.681524925110457,0.0881275207070793,1,0,9,10,1
"GPA33",0,0,1,1,0,0,0,0,7.50630339022117,0.0102047225132121,0.0841556991521189,0.782769186542487,0.836691899462957,-0.0539227129204695,2,0,13,15,2
"GPAA1",0,0,1,1,0,0,0,0,-6.66804755441342,0.149722140654015,0.0130782650990165,0.412658779814908,0.383386016484705,0.0292727633302032,0,0,3,3,0
"GPALPP1",0,0,1,1,0,0,0,0,0,1,0.95577368137568,0.235448789471678,0.23498600024263,0.000462789229048438,0,0,2,2,0
"GPAM",0,0,1,1,0,0,0,0,5.59875089698652,0.0952749412764938,1,0,0,0,0,0,0,0,0
"GPANK1",0,0,1,1,0,0,0,0,0,1,0.0534104081616224,0.303139519105607,0.287819054863782,0.0153204642418249,1,0,15,16,1
"GPAT2",0,0,1,1,0,0,0,0,-4.5415945830617,0.269320173054076,1,0,0,0,0,0,0,0,0
"GPATCH1",0,0,1,1,0,0,0,0,5.19116292887822,0.425005820401683,0.0052206228377611,0.389008603325456,0.347530222249866,0.0414783810755895,0,0,0,0,0
"GPATCH11",0,0,1,1,0,0,0,0,0,1,0.838237975620242,0.0881808297183541,0.0869989762567196,0.00118185346163457,0,0,0,0,0
"GPATCH2",0,0,1,1,0,0,0,0,6.02653400663886,0.0117732724034787,0.283875068121941,0.154165724190548,0.145082900780449,0.00908282341009836,0,1,1,2,1
"GPATCH2L",0,0,1,1,0,0,0,0,0,1,0.495875798745857,0.558029239695308,0.563277602799796,-0.0052483631044874,0,0,2,2,0
"GPATCH3",0,0,1,1,0,0,0,0,4.81069562434855,0.560218100920861,0.0915404997072496,0.330958798088938,0.320160106690616,0.0107986913983219,3,0,6,9,3
"GPATCH4",0,0,1,1,0,0,0,0,6.48571123841424,0.232523089516739,0.0528795861810707,0.318175286129378,0.297385078039149,0.0207902080902286,0,0,6,6,0
"GPATCH8",0,0,1,1,0,0,0,0,7.95314148845523,0.0376010543103505,0.460812894556102,0.291713426238872,0.284543866607381,0.00716955963149085,1,1,4,6,2
"GPBAR1",0,0,1,1,0,0,0,0,5.65425088688131,0.516653594963457,0.569395828372065,0.892693288177174,0.886194073287255,0.00649921488991878,0,0,15,15,0
"GPBP1",0,0,1,1,0,0,0,0,7.29500795182998,0.234638015924522,0.437929655914412,0.0397671938546221,0.0342267948035031,0.00554039905111903,0,0,2,2,0
"GPBP1L1",0,0,1,1,0,0,0,0,-5.38198854279165,0.768008038687568,0.0166275077977686,0.33210125234674,0.315808168747583,0.0162930835991574,1,0,11,12,1
"GPC1",0,0,1,1,0,0,0,0,4.58638398528661,0.0178243562447639,0.357933257924202,0.425315651251385,0.400450567461073,0.0248650837903114,0,0,14,14,0
"GPC2",0,0,1,1,0,0,0,0,3.73217813939478,0.517195793829204,0.00544369251872528,0.515897259753728,0.464466545909225,0.0514307138445027,0,0,6,6,0
"GPC3",0,0,1,1,0,0,0,0,-1.74673993391237,0.48764890212969,1,0,0,0,0,0,0,0,0
