"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y","logFC_Rel_vs_R","P.Value_Rel_vs_R"
"SYP",1,0,0,-0.343932609921335,5.52312558942257,-1.55193499297343,0.135203822307589,0.977208286870888,-4.50646066487407,1,0,0,-0.526482842137411,0.0619528977151369
"SYPL1",1,0,0,0.225934049472633,7.07897727333927,1.17557940830418,0.25255538450137,0.977208286870888,-4.57423728731324,1,0,0,0.0670951592856524,0.770275640782324
"SYPL2",1,0,0,0.331055052978354,-2.23145548929081,0.45078727284958,0.65663434932253,0.977208286870888,-4.65935951932855,1,0,0,0.804781678782353,0.231209772618022
"SYS1",1,0,0,0.125629800374087,2.71716850103511,0.450461048440388,0.656865829200642,0.977208286870888,-4.65938181417645,1,0,0,-0.165574290808148,0.63430394312715
"SYS1-DBNDD2",1,0,0,0.32652089223695,-6.87791773459334,0.618087858930957,0.542978654378085,0.977208286870888,-4.64590170273823,1,0,0,0.450778768370529,0.441047562318893
"SYT1",1,0,0,0.0413699441432689,-7.47016393995151,0.192151233463775,0.849418304213613,0.978420770254378,-4.67205872999494,1,0,0,0.474733327470693,0.0730359735289225
"SYT10",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0,0.118209641013437,0.36312418464791
"SYT11",1,0,0,-2.83985696503785,-1.5381170328168,-1.93138539195449,0.0666586694873113,0.977208286870888,-4.42676147834283,1,0,0,1.07664032749564,0.526211967247763
"SYT12",1,0,0,0.176841177215503,-7.51577275480234,0.844638323959823,0.407568813838138,0.977208286870888,-4.62149199613315,1,0,0,0.618790327433735,0.0708801365395182
"SYT13",1,0,0,-0.299062331080894,3.94211197865459,-0.888952520389014,0.38381940515259,0.977208286870888,-4.61592896945546,1,0,0,-0.0592459778752268,0.885863289162206
"SYT14",1,0,0,0.0782740272371845,-7.21764945833167,0.197621813819916,0.845188425719535,0.977871925559965,-4.67189474506049,1,0,0,0.00144803724064957,0.997704553943669
"SYT14L",1,0,0,0.198879319657808,-7.50422896590399,1.04437968566851,0.307854778247844,0.977208286870888,-4.59450534927834,1,0,0,0.340221429168576,0.126328760971142
