"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","nb_enhancer_changed"
"4069","FOXA1",0.419256788184713,8.63692766219428,0.547634255237637,0.586435112861287,0.968641411670539,-4.59811767398771,0,1,2,3,1
"4070","FOXA2",0.503826826960449,0.17725057913724,1.1707675057813,0.247368297553406,0.818448507996174,-4.59359364293361,1,0,2,3,1
"4071","FOXB1",0.605222258807421,2.29738995341267,1.40598235555435,0.166054498912385,0.768823312534158,-4.59111703684278,0,0,3,3,0
"4072","FOXB2",0,0.0205603672634529,0,1,1,-4.59942012403346,0,0,2,2,0
"4073","FOXC1",-2.93658532507705,2451.15754804739,-0.466103104985385,0.643212163445066,0.988720860345596,-4.59847503828647,3,1,20,24,4
"4074","FOXC2",-0.715095868990457,13.0123863981383,-0.618539663254017,0.539091467222214,0.943296603126155,-4.59776134512402,1,2,29,32,3
"4075","FOXD2",1.60503323845214,106.371141702419,1.36989965588332,0.176978235823016,0.773978829253263,-4.59152225363482,1,2,8,11,3
"4076","FOXD3",-0.847883122505983,2.73420704457813,-2.12782192710692,0.0384203778110814,0.670617873206242,-4.58130747967614,0,1,2,3,1
"4077","FOXE3",0.615981417777082,4.78793548743812,1.66650878971765,0.10200831425507,0.724238113579914,-4.58793487205423,1,1,3,5,2
"4078","FOXF1",2.48282826607066,96.6606051928878,1.19185770041008,0.239071571140608,0.816536622512385,-4.5933877924491,0,1,12,13,1
"4079","FOXF2",-0.449272250750555,0.482273490365636,-0.799634380541035,0.427791550905601,0.897591993353406,-4.59666216585638,1,0,20,21,1
"4080","FOXG1",-0.111723775496756,0.231662863604435,-0.187170400031101,0.852301772779325,1,-4.59926715995076,0,2,9,11,2
"4081","FOXI1",1.08020940622866,29.4673530786221,0.913408651723556,0.365511138895337,0.874053426546969,-4.59583556055691,1,0,12,13,1
"4082","FOXJ1",0.718899231320897,9.39289091389313,1.12579444347509,0.265749719699033,0.83024127447598,-4.59402162496433,1,0,7,8,1
"4083","FOXJ2",-1.59363780364745,3062.11014496568,-0.0782189017644696,0.937973247637144,1,-4.59939339432337,0,0,2,2,0
"4084","FOXL1",1.80878676033957,27.7503653372589,1.42290933507554,0.161113540050942,0.767019604979828,-4.59092387402433,1,4,31,36,5
"4085","FOXL2",0.0914117217259349,0.618852074267378,0.1080235383298,0.914419215845005,1,-4.59936914888263,3,0,18,21,3
"4086","FOXM1",-3.03842206231932,1993.01763412671,-1.91041037536273,0.061955836841131,0.696897404501674,-4.58457668059638,1,0,3,4,1
"4087","FOXN2",2.70693720150667,2981.78335837361,1.54997257523417,0.127599062033039,0.746438078207366,-4.58941267841437,3,0,29,32,3
"4088","FOXN3",2.59188751735749,3032.76268485537,1.42464537622614,0.160613332778793,0.766477711022584,-4.59090395303939,6,0,29,35,6
"4089","FOXO1",2.63748462084805,1980.61223332519,0.784111419032249,0.436758098060025,0.901211277619818,-4.59676689302922,5,1,23,29,6
"4090","FOXP1",3.28344581864849,21508.0007478199,0.43234350429411,0.667393191810791,0.99828409402591,-4.59860648396294,6,1,32,39,7
"4091","FOXP2",2.42517701647874,111.83021772099,1.43464254646559,0.157756348580718,0.763110553075158,-4.5907888388339,0,0,12,12,0
"4092","FOXQ1",0.358767845749302,1.47858506209172,1.15217143458269,0.254854581679855,0.823045912341584,-4.59377242997202,1,0,0,1,1
"4093","FOXR1",0.99064229312302,4.03591001530765,0.538158968702631,0.592909456794354,0.971958097720202,-4.59816209257441,2,0,16,18,2
"4094","FOXRED1",1.95359756159781,3510.27767979833,0.243573022790317,0.808580884266874,1,-4.59916120810036,1,0,16,17,1
"4095","FOXRED2",-2.37434024910903,993.938591353579,-1.06714575286863,0.291148368531047,0.842449155845037,-4.59455702748084,0,0,5,5,0
"4096","FOXS1",-0.0460774641295099,0.36715546312215,-0.0829386173279295,0.934239063071216,1,-4.59939007173632,0,0,1,1,0
"4097","FPGS",2.86945396295369,3699.70708312973,1.33811960199375,0.187049245325033,0.782158015777422,-4.59187169986456,4,1,13,18,5
"4098","FPR1",-2.35366002211848,7701.84400558777,-0.0456161542299833,0.963802045619598,1,-4.59941103235912,4,0,14,18,4
"4099","FPR2",-3.05965556015124,2991.09825610502,-0.742927962946797,0.46108101385006,0.913781456104983,-4.59703526485503,4,0,14,18,4
"4100","FPR3",1.09220027074998,59.0560105516515,0.294922852201605,0.769301828382185,1,-4.59904074528983,3,0,22,25,3
"4101","FRAS1",-1.02091559309066,19.698515722969,-1.12466053148356,0.266225391809782,0.830651725367694,-4.59403222131693,1,0,9,10,1
"4102","FRAT1",0.983411556651818,340.665679163261,0.128016502114984,0.898661149606998,1,-4.5993485407033,0,0,1,1,0
"4103","FRMD3",-2.57270562478563,1063.05158138689,-0.753781949602884,0.454595939167094,0.911737404929254,-4.59696587459104,0,0,6,6,0
"4104","FRMD4B",3.03526538937487,3988.96076274989,0.929724717874169,0.357082501607288,0.871331688358047,-4.59570859151995,0,0,3,3,0
"4105","FRMD5",1.32445934093751,165.812356230752,0.443810380226647,0.659138138017242,0.994656819004206,-4.59856292666493,1,0,6,7,1
"4106","FRMD6",-2.49492095531763,218.428215732106,-2.85425063340472,0.00631103117606893,0.565705210983799,-4.56888998389956,0,0,1,1,0
"4107","FRMD8",2.44968555491558,2005.9950806654,1.08368596728501,0.283820575306632,0.837885791149028,-4.59440865752374,0,0,1,1,0
"4108","FRMPD1",-0.382092049138337,5.85099960468017,-0.78853825542866,0.434189705940456,0.899836186611079,-4.59673722568242,0,0,7,7,0
"4109","FRMPD2",0,0.0752909993007404,0,1,1,-4.59942012403346,0,0,1,1,0
"4110","FRRS1",2.5540764674823,956.127275627725,1.32499235633419,0.191334389102231,0.78537455032795,-4.59201398825052,1,2,9,12,3
"4111","FRS2",2.35171733602075,1500.03557782973,1.675074232606,0.100306499852387,0.722286053586196,-4.5878229055347,0,0,6,6,0
"4112","FRS3",1.52415507475139,524.320866448028,0.361868830270831,0.719009744111558,1,-4.59884947330904,3,0,23,26,3
"4113","FRY",3.83279630331816,25080.1290017517,1.33192731157546,0.189061413022255,0.783958551149218,-4.59193896953118,2,0,28,30,2
"4114","FRYL",3.3690198716615,22201.2100363763,1.34591159585554,0.184540476217574,0.7797206677988,-4.59178667115022,1,2,8,11,3
"4115","FSCN1",-2.81993763623562,2605.22731128405,-0.904754672926423,0.370033209439562,0.875620217894687,-4.59590205306842,3,0,15,18,3
"4116","FSCN2",1.76525932275581,102.39558014513,2.19069461291693,0.0332725533257016,0.670617873206242,-4.58031801422638,1,0,6,7,1
"4117","FSCN3",-0.648883830391768,66.1486873614716,-0.339752260601725,0.735498680371945,1,-4.59891693674159,3,0,9,12,3
"4118","FSD1",1.08835096930416,54.4953987227449,0.520545812951037,0.60503320743373,0.974715769773424,-4.59824264744594,0,0,1,1,0
"4119","FSD1L",-0.435279650582961,610.407633472665,-0.0230594353032976,0.981696740933392,1,-4.59941780066776,0,0,6,6,0
"4120","FSD2",1.16482650999742,23.314213110802,2.22141309041506,0.0309862167758055,0.664987259608041,-4.57982782324828,1,2,27,30,3
"4121","FSIP1",1.06102801872011,65.4930951832743,0.970781786958214,0.33643632620706,0.860732584190341,-4.5953798583221,1,0,5,6,1
"4122","FST",-1.28842911244365,18.2412670463623,-1.61275570705259,0.113236083075977,0.734621289808848,-4.5886271554803,0,1,31,32,1
"4123","FSTL4",-1.06998580330757,10.7085361165336,-1.74809733442473,0.0867260256752462,0.711345080728042,-4.58685027336651,3,2,8,13,5
"4124","FTH1",-4.61812385293606,222376.946596823,-0.597481749248582,0.552943740158523,0.948984343570706,-4.5978715658495,0,1,16,17,1
"4125","FTL",-4.36748244983784,140415.645659008,-0.806322970632965,0.42396231542863,0.895848101396857,-4.596616440261,4,0,17,21,4
"4126","FTO",2.98903389657629,7764.07310177527,1.3751506797721,0.175355042367738,0.77304547669561,-4.59146384036196,3,0,2,5,3
"4127","FTSJ2",1.33752911623178,1225.7828944231,0.131620350432385,0.895824853724192,1,-4.59934445506804,2,0,24,26,2
"4128","FTSJ3",2.89224200791153,6397.67880384,1.31123688878289,0.19590406773339,0.787536323901235,-4.5921617878566,0,1,5,6,1
"4129","FUBP1",3.35439948553643,16941.6324569914,1.1057975131717,0.274227067934824,0.834180888987128,-4.59420708393949,0,0,1,1,0
"4130","FUBP3",2.4932177331761,3855.1013484564,1.29783731606911,0.200434331181508,0.790933901708839,-4.59230448027087,0,0,3,3,0
"4131","FUCA1",-0.202838163312156,2101.95031447691,-0.00508895158117999,0.995960334184211,1,-4.59942001087648,0,0,6,6,0
"4132","FUCA2",-1.50834849191501,1579.3894831343,-0.120371502487932,0.904682281608909,1,-4.59935683271506,0,0,4,4,0
"4133","FURIN",2.61082301916767,14980.3176962889,0.119389873706968,0.905455820616264,1,-4.59935786048806,0,0,8,8,0
"4134","FUS",3.97007421788394,53037.6323649989,1.22557562167423,0.226230760385722,0.811414807826178,-4.59305192889168,5,0,36,41,5
"4135","FUT11",1.84902019890982,1358.97264500236,0.377870579465739,0.707162685258843,1,-4.59879803900308,0,0,2,2,0
"4136","FUT5",1.21722896122813,61.424423979842,0.435305955860831,0.665256478697749,0.997548584413674,-4.59859533853192,1,0,0,1,1
"4137","FUT7",2.74325137647632,2884.75513328277,0.718339837280235,0.475967444837702,0.919027480752643,-4.59718889746035,0,0,3,3,0
"4138","FUT8",2.64984428470231,2584.74715114725,0.873114628552948,0.386869717726466,0.879535799531703,-4.59614011369988,0,1,10,11,1
"4139","FUZ",-2.2815159687455,2797.53810529845,-0.491223499963605,0.625466794558107,0.982607717620053,-4.59837093502581,0,0,1,1,0
"4140","FXN",-2.31752643555257,1795.70651104177,-1.02339456086086,0.311159570390047,0.849764558250222,-4.59493945210148,1,1,13,15,2
"4141","FXR2",2.38561297998688,3252.29826793066,0.887663463434657,0.379068844360429,0.877764529937754,-4.59603163357942,1,0,4,5,1
"4142","FXYD1",-0.921318574216603,24.8058599269954,-1.0647778763463,0.29220804519418,0.842979631014627,-4.59457809824204,0,0,1,1,0
"4143","FXYD2",1.38602242147452,78.179904219625,0.726306052155281,0.471114909307248,0.917411054175924,-4.59713966457608,1,1,30,32,2
"4144","FXYD3",-1.10267736860002,5.21517381335438,-2.43859040566786,0.018424477248011,0.619964755647436,-4.57624381379785,0,0,5,5,0
"4145","FXYD4",-0.28197461585494,1.8547090255701,-1.40031817032865,0.167733850861217,0.769138225713377,-4.59118123781426,0,0,1,1,0
"4146","FXYD5",-3.2982171472498,46714.0915547496,-0.137008183652485,0.891587098762504,1,-4.59933813572451,0,0,1,1,0
"4147","FXYD6",-2.2535237111612,318.76024925459,-1.2168361730114,0.229509285175563,0.813835687306218,-4.59313977722429,0,0,9,9,0
"4148","FXYD7",1.42883032034163,81.7632493520261,0.877543335201522,0.384484485627386,0.878446861422219,-4.59610727007333,0,0,1,1,0
"4149","FYB",3.96481832639752,35514.2895289204,1.05598877204522,0.296164700291064,0.843093797550978,-4.59465593628165,4,1,50,55,5
"4150","FYN",3.36474637277782,6682.53829133956,1.00691885515076,0.318932408983036,0.849764558250222,-4.59507966432883,1,2,25,28,3
"4151","FZD1",2.54726214427569,529.326412440123,0.710924656777581,0.4805095975329,0.920154375127216,-4.5972342571133,0,0,6,6,0
"4152","FZD2",1.94629227394151,248.269387208541,0.730743539406962,0.468424108325938,0.916746402437504,-4.59711201452229,0,1,1,2,1
"4153","FZD3",-2.79405901604158,469.605838244681,-3.2585812869602,0.00204055670166372,0.494131532841729,-4.56127474244343,1,0,9,10,1
"4154","FZD4",0.139311238085643,2.64072691142953,0.896447147605192,0.374407805816039,0.87679849730553,-4.59596532705333,0,0,6,6,0
"4155","FZD5",-1.46554734412492,408.464587913899,-0.198178834311494,0.843727064023154,1,-4.59924865244597,3,2,29,34,5
"4156","FZD6",-2.52149080813279,1534.18274301181,-0.579093227018562,0.565185501752583,0.956510274004739,-4.5979647813286,0,0,19,19,0
"4157","FZD7",-1.19329415322228,249.955836321768,-0.213001853043432,0.832211377038875,1,-4.59922206688626,2,0,15,17,2
"4158","FZD8",1.79704215493808,63.3725456528618,1.68909062544219,0.0975720497695752,0.720646061435398,-4.58763871571436,0,0,8,8,0
"4159","FZD9",-0.197443207545613,4.53525006367918,-0.721209087777744,0.474216423513649,0.918529781387429,-4.59717122482433,2,0,4,6,2
