"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers"
"465","HSPA1A",-4447.44352439472,8592.56113527528,-2.49095299481162,0.0161853180196599,0.615308093686932,-4.57535070575503,4,0,18,22
"466","HSPA4L",-923.174234092997,631.556554626803,-2.76616745575992,0.00798287409657622,0.565705210983799,-4.57049507070197,2,1,4,7
"467","ICT1",-197.649238833413,841.290063103308,-2.458299121493,0.0175507803011035,0.6160460666761,-4.57590890544111,0,1,5,6
"468","IGF1R",-9392.3516532985,14094.2569881194,-2.67325359761565,0.0101823300836149,0.579528014128809,-4.57216281030249,4,6,46,56
"469","IGFBP5",-27.1695849820468,15.3330385201905,-2.19655614044634,0.0328251285002039,0.670617873206242,-4.58022481625352,0,2,22,24
"470","IGJ",-14131.5571192383,9891.23385206277,-2.20739219867428,0.0320119513228123,0.668413443462454,-4.58005210313426,1,1,16,18
"471","IRF4",-967.099525327086,919.473580155194,-2.61858510145018,0.0117236949233151,0.602366330281377,-4.57313100823572,1,0,15,16
"472","ISOC1",-381.840902234964,1087.36097631231,-2.55466377404162,0.0137948006381876,0.607529672626876,-4.57425004394408,0,1,0,1
"473","IVL",-1.47235694075911,0.46084436727187,-2.02989611849188,0.0478283799873772,0.692858736499418,-4.58281013792022,0,1,12,13
"474","KANK1",-1563.41808163354,3206.58294602769,-2.22612586169624,0.0306480304415783,0.66487275757254,-4.57975223464577,1,0,0,1
"475","KCNJ11",-27.252040933975,31.0639819745794,-2.75740372528449,0.00816986809513072,0.565705210983799,-4.57065351958867,0,3,6,9
"476","KCNJ12",-236.106054583414,97.7019533940126,-2.7080647488989,0.00930015923100718,0.575772853420773,-4.57154116395306,1,0,0,1
"477","KCNK4",-1.70367616551327,1.14947645856507,-2.30160479016204,0.0256599999040747,0.653914051300877,-4.57852801155306,1,0,2,3
"478","KHDRBS3",-607.304798457483,483.275143905841,-2.14946404530106,0.036574542477045,0.670617873206242,-4.58096901247263,0,1,4,5
"479","KIF18B",-993.854326518176,1281.58041969849,-2.09197483399719,0.0416575539373445,0.676611895604762,-4.58186308973518,2,0,0,2
"480","KLF5",-3135.42058322242,1751.98112916053,-2.20357435394507,0.0322964028831399,0.668579962021292,-4.58011301685565,1,0,2,3
"481","KRT10",-242.875136484471,615.369776907246,-2.70583859938553,0.00935439908912002,0.575861510078071,-4.57158103426812,0,1,15,16
"482","KRT13",-126.569974086621,97.0717799951393,-2.08205784007053,0.0425941382540834,0.680131151491413,-4.58201567894126,0,3,7,10
"483","LAMA5",-721.043848513766,464.816404319935,-4.43294548748858,5.25410451188453e-05,0.196739416436184,-4.53810182486693,2,0,17,19
"484","LAPTM4B",-2736.91658429406,2146.58979746132,-3.50405531437886,0.000990841495607963,0.46438376626021,-4.5565043187163,2,0,11,13
"485","LBR",-10194.311060624,22991.2364779307,-3.63894477251684,0.000659090958096217,0.46438376626021,-4.55385204080582,8,0,15,23
"486","LCA5",-191.559355734751,293.201592808659,-2.18741056210217,0.0335255771050985,0.670617873206242,-4.58037016038668,1,5,24,30
"487","LEFTY2",-2.44828588267496,1.17052457040375,-2.08270691553277,0.0425322813237301,0.679665855553207,-4.58200570681038,5,1,16,22
"488","LRRC20",-75.7457706890114,161.357821452029,-2.43424704483128,0.0186222204449793,0.619964755647436,-4.57631741469513,0,1,12,13
"489","LSMD1",-236.419029622961,635.667247039097,-2.95411474835113,0.00481125989889767,0.562871046487498,-4.5670443366338,5,0,21,26
"490","LYRM1",-111.55436856227,430.688741307209,-2.1550564816429,0.0361104167757227,0.670617873206242,-4.58088118494899,3,1,6,10
"491","MAP2",-60.6339141700082,30.8785468936201,-2.20902088998546,0.0318912794677553,0.667852257724947,-4.58002609685995,1,0,12,13
"492","MARCH4",-1.58570099230043,0.74398219979543,-2.168060879305,0.0350511212865804,0.670617873206242,-4.58067637863664,0,2,10,12
"493","MASP1",-5.44752894636314,2.16347475160352,-2.36982097536185,0.0217886228170361,0.64025493504271,-4.57740025196595,1,1,9,11
"494","MGST1",-2027.09002248326,2939.95455830076,-2.79539708583855,0.00738738438026276,0.565705210983799,-4.56996493452024,1,0,10,11
"495","MGST3",-2000.00231675087,5350.55723643539,-2.09571125991068,0.0413093665183501,0.675717149647406,-4.58180547215868,3,0,25,28
"496","MICALL2",-1165.59435970963,2013.05426300538,-2.04443526386475,0.0463161346544462,0.688028904094516,-4.58259008335469,1,0,0,1
"497","MMP2",-10554.8171625337,6122.56543357144,-3.34202950463246,0.00160091827475102,0.46438376626021,-4.55966276813712,1,2,17,20
"498","MMP8",-27635.3337185621,19752.9052645723,-2.10875451594537,0.040113741555104,0.670617873206242,-4.58160379850083,1,1,33,35
"499","MRO",-15.4750501884337,9.90962616602864,-2.77356721763349,0.0078280678136075,0.565705210983799,-4.57036110221633,2,1,4,7
"500","MS4A6E",-10.1864522090815,6.53708881688808,-2.86314772487694,0.00616158691484958,0.565705210983799,-4.56872663169544,0,1,10,11
"501","MTUS2",-1381.79667009766,649.6473968249,-3.75546973880274,0.000460804633955283,0.421010018441987,-4.55154871445525,1,1,8,10
"502","MUC1",-312.75031263568,637.051957080411,-2.04954041492968,0.0457950695825226,0.685902505773124,-4.58251255948382,1,0,6,7
"503","MXD3",-310.216839911751,618.359219697593,-2.0980555520868,0.0410922077739761,0.675717149647406,-4.5817692867395,4,0,26,30
"504","MYH10",-2704.68455577091,3153.51778931105,-2.16645887040963,0.0351801218107689,0.670617873206242,-4.58070165205077,1,0,6,7
"505","NBL1",-452.307196292146,292.178285622554,-2.57295754913305,0.0131703957899799,0.607529672626876,-4.57393125979765,6,0,37,43
"506","NCAPD2",-3933.38818730831,15053.8087907168,-2.06409545076626,0.0443373420699857,0.68092809478262,-4.58229080995849,5,0,10,15
"507","NDUFA4",-2699.1045080506,8635.63523792089,-2.69375698187515,0.00965387261118319,0.579058558780744,-4.57179714007568,2,1,5,8
"508","NDUFA7",-169.057999586643,823.021709401924,-2.56541418406231,0.0134246785805359,0.607529672626876,-4.5740628545244,1,0,1,2
"509","NDUFAB1",-305.485094663436,1103.07848545527,-2.02829170776068,0.0479978504324081,0.692913300211431,-4.58283435485683,1,2,3,6
"510","NDUFC1",-241.021750244955,919.775806173752,-2.5544901387304,0.0138008541613627,0.607529672626876,-4.57425306391842,3,2,17,22
"511","NTNG2",-1602.00318283984,2044.34714305663,-2.40822110818441,0.0198477283737607,0.633359000363295,-4.57675686670281,0,1,15,16
"512","OAT",-5473.62991123738,8629.15593093203,-2.53078085522914,0.0146505053489243,0.607529672626876,-4.57466440129978,0,2,15,17
"513","OCLN",-1455.05024434901,1673.23631877477,-2.37023832132817,0.0217666439164348,0.64025493504271,-4.577393292005,1,0,10,11
"514","OR7E37P",-25.3131774844272,33.7047056933762,-2.15756137931107,0.0359042147822465,0.670617873206242,-4.58084179786126,2,1,8,11
"515","OSR1",-1.54696670905792,0.57567045974954,-2.51310869013876,0.015314429374934,0.610637151314548,-4.57496965545988,0,2,26,28
"516","P4HA2",-145.815564304733,108.664447623588,-2.47674590623026,0.016767126824243,0.615308093686932,-4.57559407133995,1,0,3,4
"517","PADI4",-12247.4652311417,14185.7382600681,-2.46588068392979,0.01722477974991,0.615308093686932,-4.57577966896417,2,0,14,16
"518","PARM1",-159.976612423455,141.888840209649,-2.25372074020027,0.0287326485803917,0.662443342755744,-4.57930761244786,1,0,3,4
"519","PAX4",-4.03280136166907,1.84019383832072,-3.11108616395093,0.00310900398516038,0.547342786336625,-4.5640939492486,2,0,14,16
"520","PCBD1",-426.197343116777,1073.86172312069,-2.14405030885134,0.0370288199076151,0.670617873206242,-4.58105389091862,2,0,16,18
"521","PFKM",-1991.85099553377,3249.07389749103,-2.1726168628147,0.0346865267656511,0.670617873206242,-4.58060443672214,2,1,8,11
"522","PGM1",-3129.49276122331,6879.31967877223,-3.1495568983023,0.00278836907034236,0.547342786336625,-4.5633626528505,0,2,5,7
"523","PHB2",-2928.35240296384,12469.4837441708,-2.67035393396279,0.0102591730800508,0.580613185757895,-4.57221441418981,2,2,12,16
"524","PIF1",-210.664997900529,267.250419884812,-2.26907805642755,0.0277133556584251,0.655951005102692,-4.57905868465742,1,0,0,1
"525","PKDCC",-177.482861016984,98.4469283440885,-3.06207248608235,0.00356779349491332,0.55401537736098,-4.5650211773868,1,2,6,9
"526","PLBD1",-10588.114352554,7729.86742955899,-3.12461640969976,0.00299247744034405,0.547342786336625,-4.56383709411559,1,0,1,2
"527","PLK1",-1249.58866361321,1890.09989319081,-2.13642282319414,0.0376772589951189,0.670617873206242,-4.58117323825657,1,0,1,2
