"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"SLC43A1",9,0,48,57,15.7894736842105,9
"snoU13.196",9,1,55,65,13.8461538461538,10
"SNX14",9,12,148,169,5.32544378698225,21
"SP5",9,1,14,24,37.5,10
"TIGD6",9,0,20,29,31.0344827586207,9
"TRMT5",9,2,27,38,23.6842105263158,11
"TSN",9,0,54,63,14.2857142857143,9
"TXNIP",9,1,36,46,19.5652173913043,10
"U8.13",9,0,53,62,14.5161290322581,9
"USP1",9,2,28,39,23.0769230769231,11
"WRAP53",9,0,31,40,22.5,9
"Y_RNA.782",9,1,61,71,12.6760563380282,10
"YPEL4",9,0,51,60,15,9
"ZBTB2",9,3,67,79,11.3924050632911,12
"ZNF10",9,4,62,75,12,13
"ZNF189",9,3,50,62,14.5161290322581,12
"ZNF268",9,4,62,75,12,13
"ZNF891",9,4,62,75,12,13
"AAMP",8,1,72,81,9.87654320987654,9
"AASDH",8,2,39,49,16.3265306122449,10
"AC003002.4",8,3,41,52,15.3846153846154,11
"AC003002.6",8,2,20,30,26.6666666666667,10
"AC004076.7",8,2,20,30,26.6666666666667,10
"AC007228.11",8,2,71,81,9.87654320987654,10
"AC011747.7",8,0,49,57,14.0350877192982,8
"AC012531.25",8,0,18,26,30.7692307692308,8
"AC018816.3",8,2,55,65,12.3076923076923,10
"AC026202.1",8,2,41,51,15.6862745098039,10
"AC026202.3",8,2,41,51,15.6862745098039,10
"AC068669.1",8,1,14,23,34.7826086956522,9
"AC074138.3",8,3,30,41,19.5121951219512,11
"ACTR6",8,2,41,51,15.6862745098039,10
"AMDHD1",8,0,17,25,32,8
"ARFGEF2",8,1,31,40,20,9
"ATN1",8,3,37,48,16.6666666666667,11
"ATP6V0A1",8,1,25,34,23.5294117647059,9
"AVIL",8,2,31,41,19.5121951219512,10
"AZI2",8,0,28,36,22.2222222222222,8
"BRPF1",8,0,49,57,14.0350877192982,8
"BTG2",8,0,24,32,25,8
"BUB1B",8,0,32,40,20,8
"C12orf57",8,3,38,49,16.3265306122449,11
"C7orf60",8,4,41,53,15.0943396226415,12
"CAPZB",8,0,43,51,15.6862745098039,8
"CASC10",8,3,30,41,19.5121951219512,11
"CASC3",8,1,14,23,34.7826086956522,9
"CCNB1IP1",8,0,37,45,17.7777777777778,8
"CD27-AS1",8,1,22,31,25.8064516129032,9
"CD2AP",8,2,59,69,11.5942028985507,10
"CD48",8,0,53,61,13.1147540983607,8
"CDC6",8,2,33,43,18.6046511627907,10
"CDCA2",8,2,109,119,6.72268907563025,10
"CENPF",8,7,56,71,11.2676056338028,15
"CHIC2",8,0,41,49,16.3265306122449,8
"CISD1",8,13,114,135,5.92592592592593,21
"CNP",8,1,33,42,19.047619047619,9
"CNPPD1",8,0,38,46,17.3913043478261,8
"CNTRL",8,1,60,69,11.5942028985507,9
"CXXC5",8,0,17,25,32,8
"DFNB59",8,2,44,54,14.8148148148148,10
"DIMT1",8,1,63,72,11.1111111111111,9
"DIS3",8,2,38,48,16.6666666666667,10
"DYNC1I2",8,1,15,24,33.3333333333333,9
"EDEM1",8,2,41,51,15.6862745098039,10
"EFCAB14",8,1,36,45,17.7777777777778,9
"EIF3M",8,0,20,28,28.5714285714286,8
"ENTPD3-AS1",8,3,44,55,14.5454545454545,11
"FAM134A",8,0,38,46,17.3913043478261,8
"FNDC3B",8,4,74,86,9.30232558139535,12
"FOS",8,1,73,82,9.75609756097561,9
"GAPDH",8,3,50,61,13.1147540983607,11
"GFM1",8,1,33,42,19.047619047619,9
"GNRHR2",8,1,35,44,18.1818181818182,9
"GPR98",8,3,50,61,13.1147540983607,11
"H3F3A",8,1,23,32,25,9
"HAUS6",8,1,22,31,25.8064516129032,9
"HIST1H1PS1",8,1,43,52,15.3846153846154,9
"HIST1H2AH",8,0,56,64,12.5,8
"HIST1H2APS3",8,1,42,51,15.6862745098039,9
"HIST1H2BK",8,0,56,64,12.5,8
"HIST1H2BO",8,2,55,65,12.3076923076923,10
"HIST1H3E",8,1,42,51,15.6862745098039,9
"HIST1H3F",8,1,34,43,18.6046511627907,9
"HIST1H4D",8,1,43,52,15.3846153846154,9
"HMGB1",8,2,74,84,9.52380952380952,10
"HOXA4",8,1,16,25,32,9
"HOXB13",8,0,22,30,26.6666666666667,8
"HOXB4",8,3,37,48,16.6666666666667,11
"HOXC4",8,0,26,34,23.5294117647059,8
"ID2",8,0,49,57,14.0350877192982,8
"IER5L",8,0,21,29,27.5862068965517,8
"IFNGR1",8,2,40,50,16,10
"IL8",8,1,33,42,19.047619047619,9
"IMMP2L",8,5,42,55,14.5454545454545,13
"IPMK",8,13,114,135,5.92592592592593,21
"IPO11",8,1,67,76,10.5263157894737,9
"IRF2BP2",8,0,66,74,10.8108108108108,8
"JADE2",8,1,36,45,17.7777777777778,9
"KCTD9",8,2,109,119,6.72268907563025,10
"LEFTY1",8,3,42,53,15.0943396226415,11
"LINC01136",8,0,24,32,25,8
"LONRF1",8,3,100,111,7.20720720720721,11
"LPIN2",8,6,72,86,9.30232558139535,14
"LYSMD3",8,3,50,61,13.1147540983607,11
"MAML2",8,1,44,53,15.0943396226415,9
"MAP1LC3B2",8,1,50,59,13.5593220338983,9
"MARS",8,2,20,30,26.6666666666667,10
"MBD2",8,2,58,68,11.7647058823529,10
"MBIP",8,4,36,48,16.6666666666667,12
"MBNL1",8,3,49,60,13.3333333333333,11
"MDH2",8,0,30,38,21.0526315789474,8
"MIR10A",8,3,37,48,16.6666666666667,11
"MIR1260B",8,1,44,53,15.0943396226415,9
"MIR129",8,2,54,64,12.5,10
"MIR1915",8,3,30,41,19.5121951219512,11
"MIR2277",8,0,14,22,36.3636363636364,8
"MIR3143",8,0,56,64,12.5,8
"MLC1",8,0,30,38,21.0526315789474,8
"MSMB",8,5,81,94,8.51063829787234,13
"MYB",8,2,34,44,18.1818181818182,10
"NAA38",8,2,40,50,16,10
"NCAPD2",8,2,28,38,21.0526315789474,10
"NCOA2",8,6,55,69,11.5942028985507,14
"OTX1",8,0,5,13,61.5384615384615,8
"PAK6",8,0,33,41,19.5121951219512,8
"PIBF1",8,2,39,49,16.3265306122449,10
"PIP4K2C",8,1,29,38,21.0526315789474,9
"PNKD",8,1,73,82,9.75609756097561,9
"PRKRA",8,2,44,54,14.8148148148148,10
"PTRF",8,1,43,52,15.3846153846154,9
"RANBP9",8,1,45,54,14.8148148148148,9
"RARA",8,3,34,45,17.7777777777778,11
"RBM26",8,7,39,54,14.8148148148148,15
"RBM26-AS1",8,7,39,54,14.8148148148148,15
"RN7SKP259",8,1,42,51,15.6862745098039,9
"RNU6-433P",8,0,31,39,20.5128205128205,8
"RNU6-653P",8,0,17,25,32,8
